cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,percent,used,active,buffers,cached,shared,value
97.4,36.8,35.1,34.2,35.1,36.8,35.1,34.2,51.3,1592356864,834129920,396935168,3135873024,1332359168,0
0,0,0,0,0,0,0,0,51.3,1592352768,834129920,396935168,3135877120,1332359168,0
5.8,1.9,0,1.9,0,0,0,0,51.3,1592352768,834129920,396935168,3135877120,1332359168,0
3.8,0,0,3.7,0,0,0,0,51.3,1592352768,834129920,396935168,3135877120,1332359168,0
3.8,0,0,0,0,0,0,0,51.3,1592352768,834129920,396943360,3135868928,1332359168,0
2,0,0,1.9,0,0,0,0,51.3,1592352768,834129920,396943360,3135868928,1332359168,0
2,0,0,0,0,0,1.9,0,51.3,1592344576,834129920,396943360,3135877120,1332359168,0
7.4,0,0,1.9,0,1.9,3.8,0,51.3,1592602624,834154496,396943360,3135877120,1332359168,0
3.9,0,0,0,0,0,1.9,0,51.3,1592860672,834154496,396943360,3135877120,1332359168,0
3.8,0,0,0,1.9,1.9,0,0,51.3,1592860672,834154496,396943360,3135877120,1332359168,0
3.8,0,0,0,0,0,1.9,0,51.3,1592860672,834154496,396943360,3135877120,1332359168,0
2,0,0,3.8,0,0,1.9,0,51.4,1593765888,834154496,396943360,3135877120,1332359168,0
3.9,0,0,0,0,0,0,0,51.4,1593765888,834154496,396943360,3135877120,1332359168,0
3.8,0,0,0,0,1.9,0,0,51.4,1593765888,834154496,396943360,3135877120,1332359168,0
2,1.9,0,0,0,1.9,0,0,51.4,1593765888,834154496,396943360,3135877120,1332359168,0
3.8,0,0,0,0,0,1.9,0,51.4,1593765888,834154496,396943360,3135877120,1332359168,0
3.9,0,0,0,0,1.9,0,0,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
5.7,1.9,0,1.9,1.9,1.9,0,1.9,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
2,0,0,1.9,1.9,1.9,0,0,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
3.8,0,1.9,0,0,1.9,0,0,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
2,1.9,1.9,0,0,0,0,0,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
3.9,0,0,0,0,1.9,0,0,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
5.7,0,0,0,0,0,0,0,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
2,0,0,0,0,0,0,0,51.4,1593765888,834154496,396951552,3135868928,1332359168,0
3.8,1.9,0,0,0,1.9,0,0,51.4,1594880000,834158592,396959744,3135868928,1332359168,0
2,0,0,0,0,0,1.9,0,51.4,1594880000,834158592,396959744,3135868928,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1594880000,834158592,396959744,3135868928,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1594871808,834170880,396959744,3135877120,1332359168,0
3.8,0,3.8,0,0,0,0,0,51.4,1594871808,834170880,396959744,3135877120,1332359168,0
2,0,1.9,0,0,0,0,0,51.4,1594871808,834170880,396959744,3135877120,1332359168,0
3.8,1.9,0,0,0,1.9,0,0,51.4,1594871808,834170880,396959744,3135877120,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1594871808,834170880,396959744,3135877120,1332359168,0
3.8,0,0,1.9,0,1.9,0,1.9,51.4,1594871808,834170880,396959744,3135877120,1332359168,0
2,0,0,0,0,0,0,0,51.4,1594871808,834170880,396959744,3135877120,1332359168,0
2,0,0,0,0,0,1.9,0,51.4,1594871808,834170880,396959744,3135877120,1332359168,0
3.8,0,1.9,1.9,0,0,0,0,51.4,1594871808,834170880,396967936,3135868928,1332359168,0
3.8,2,0,0,0,0,0,0,51.4,1594871808,834170880,396967936,3135868928,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1594871808,834170880,396967936,3135868928,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1594871808,834170880,396967936,3135868928,1332359168,0
2,0,0,1.9,0,0,0,0,51.4,1594871808,834170880,396967936,3135868928,1332359168,0
3.8,0,1.9,0,0,0,0,0,51.4,1594871808,834170880,396967936,3135868928,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1594871808,834170880,396967936,3135868928,1332359168,0
3.8,1.9,1.9,0,0,0,0,0,51.4,1594871808,834170880,396967936,3135868928,1332359168,0
3.8,0,0,5.5,0,0,0,1.9,51.4,1594871808,834170880,396967936,3135868928,1332359168,0
3.8,0,0,5.6,0,1.9,1.9,1.9,51.4,1594871808,834170880,396967936,3135868928,1332359168,0
3.8,0,1.9,0,0,0,0,0,51.4,1594871808,834170880,396976128,3135860736,1332359168,0
2,0,0,1.9,0,0,0,1.9,51.4,1594871808,834170880,396976128,3135860736,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1594871808,834170880,396976128,3135860736,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1594871808,834170880,396976128,3135860736,1332359168,0
3.8,0,0,0,0,0,0,1.9,51.4,1594855424,834187264,396976128,3135877120,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1594855424,834187264,396976128,3135877120,1332359168,0
2,0,3.8,0,0,0,1.9,0,51.4,1594855424,834187264,396976128,3135877120,1332359168,0
2,0,0,0,0,0,0,0,51.4,1594855424,834187264,396976128,3135877120,1332359168,0
3.8,0,1.9,0,0,0,0,0,51.4,1594855424,834187264,396976128,3135877120,1332359168,0
2,0,1.9,0,0,0,0,0,51.4,1594855424,834187264,396976128,3135877120,1332359168,0
3.8,0,0,0,0,0,0,0,51.4,1594855424,834187264,396976128,3135877120,1332359168,0
3.9,0,0,0,0,0,0,1.9,51.4,1594855424,834187264,396976128,3135877120,1332359168,0
3.8,1.9,1.9,0,0,0,0,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
2,0,0,0,0,0,0,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
3.8,0,0,0,0,0,0,1.9,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
3.8,0,1.9,0,0,1.9,0,1.9,51.4,1594904576,834187264,396984320,3135877120,1332359168,0
3.9,0,0,0,0,0,0,0,51.4,1594904576,834187264,396984320,3135877120,1332359168,0
3.8,1.9,0,1.9,1.9,5.6,1.9,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
0,3.9,0,0,0,0,0,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
0,3.8,0,0,1.9,0,0,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
0,2,0,0,0,0,0,0,51.4,1594847232,834187264,396992512,3135868928,1332359168,0
1.9,3.8,1.9,0,0,0,1.9,0,51.4,1594847232,834187264,396992512,3135868928,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
1.9,3.8,0,0,0,0,0,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
1.9,3.9,0,0,3.7,0,1.9,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
0,5.7,0,0,0,0,0,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
